Nom;Ticker;Coef;Days;DE_Ratio;Fair_Value;Date_MAJ;Best_MT;Best_CT
Accor;AC.PA;0.79;730;106.68;54.944;01/09/2026;60;10
Air Liquide;AI.PA;0.79;380;63.31;197.5;01/09/2026;60;10
Airbus;AIR.PA;0.79;730;54.99;230.957;01/09/2026;40;10
ArcelorMittal;MT.AS;0.79;730;25.38;66.431;01/09/2026;60;30
AXA;CS.PA;0.79;730;119.44;50.956;01/09/2026;50;30
BNP Paribas;BNP.PA;2;730;nan;117.587;01/09/2026;40;10
Bouygues;EN.PA;0.79;730;103.05;60;01/09/2026;60;30
Bureau Veritas;BVI.PA;0.79;730;178.53;32.438;01/09/2026;60;30
Capgemini;CAP.PA;1.5;730;87.51;140.508;01/09/2026;50;10
Carrefour;CA.PA;0.79;730;185.21;16.887;01/09/2026;60;30
Crédit Agricole;ACA.PA;1;730;nan;20.644;01/09/2026;40;30
Danone;BN.PA;0.79;730;98.52;80.023;01/09/2026;60;20
Dassault System;DSY.PA;0.79;730;36.23;23.605;01/09/2026;60;30
Edenred;EDEN.PA;0.79;730;nan;29.886;01/09/2026;60;30
Engie;ENGI.PA;0.79;730;143.77;30.861;01/09/2026;60;30
EssilorLuxottica;EL.PA;0.79;730;38.36;243.304;01/09/2026;40;20
Eurofins Scientific;ERF.PA;0.79;730;96.12;72.529;01/09/2026;60;30
Exosens;EXENS.PA;0.79;730;59.77;67.23;01/09/2026;60;30
Hermès;RMS.PA;0.79;730;11.98;1869.818;01/09/2026;60;30
Kering;KER.PA;0.79;730;116.57;289.708;01/09/2026;60;30
L'Oréal;OR.PA;0.79;730;49.32;417.542;01/09/2026;40;10
Legrand;LR.PA;0.79;730;102.55;163.105;01/09/2026;60;30
LVMH;MC.PA;0.79;730;53.31;568.119;01/09/2026;40;10
Michelin;ML.PA;1.5;730;nan;33.521;01/09/2026;40;30
Orange;ORA.PA;0.79;730;161.48;19.144;01/09/2026;60;30
Pernod Ricard;RI.PA;0.79;730;76.65;82.079;01/09/2026;60;30
Publicis;PUB.PA;0.79;730;51.92;110.75;01/09/2026;60;30
Renault;RNO.PA;0.79;730;327.72;38.537;01/09/2026;60;30
Safran;SAF.PA;0.79;730;33.74;381.5;01/09/2026;50;10
Saint-Gobain;SGO.PA;0.79;730;66.32;97.717;01/09/2026;60;30
Sanofi;SAN.PA;0.79;730;33.89;94.279;01/09/2026;60;30
Schneider Electric;SU.PA;0.79;730;84.12;325.875;01/09/2026;40;20
Société Générale;GLE.PA;0.79;730;nan;86.874;01/09/2026;60;30
Stellantis;STLAP.PA;0.79;730;84.39;7.25;01/09/2026;40;10
ST MicroElectronic;STMPA.PA;0.79;730;23.45;66.723;01/09/2026;40;10
Teleperformance;TEP.PA;0.79;730;120.37;74.786;01/09/2026;60;30
Thalès;HO.PA;0.79;730;69.54;295.158;01/09/2026;40;30
Total Energie;TTE.PA;0.79;730;48.05;82.263;01/09/2026;40;30
Unibail-Rodamco-Westfield;URW.PA;0.79;730;108.1;116.519;01/09/2026;40;20
Veolia;VIE.PA;0.79;730;250.26;39.35;01/09/2026;60;30
Vinci;DG.PA;0.79;730;120.74;143.238;01/09/2026;60;30
B2Gold;BTG;0.79;730;11.39;6.15;01/09/2026;60;30
i-80 Gold;IAUX;0.79;730;174.01;0.447;01/09/2026;60;30
NexGen Energy;NXE;0.79;730;33.57;19.362;01/09/2026;60;30
McEwen Mining;MUX;0.79;730;18.17;31;01/09/2026;40;30
Energy Fuels;UUUU;0.79;730;85.13;24.1;01/09/2026;40;20
Standard Lithium;SLI;0.8;730;nan;5.25;01/09/2026;40;30
Galiano Gold;GAU;0.79;730;22.51;3.925;01/09/2026;40;30
Uranium Roy;UROY;0.8;730;0.04;4.103;01/09/2026;40;20
Denison Mines;DNN;0.79;730;237.89;5.771;01/09/2026;60;30
Plat Group;PLG;0.79;730;0.15;0.862;01/09/2026;60;30
The Metals Co;TMC;1.2;730;nan;10.667;01/09/2026;40;20
Hycroft Min;HYMC;0.79;730;0.01;25;01/09/2026;60;30
Vista Gold;VGZ;0.79;730;nan;4.5;01/09/2026;60;30
Paramount Au;PZG;0.79;730;33.3;0.618;01/09/2026;40;30
Western Uranium;WUC.CN;1.2;730;nan;3.954;01/09/2026;40;20
Amer Lithium;LI.V;0.79;730;0.1;0.6;01/09/2026;60;30
Montero Mining;MON.V;0.8;730;nan;0.525;01/09/2026;40;20
Vision Lithium;VLI.V;0.79;730;0.35;0.068;01/09/2026;60;30
FPX Nickel;FPX.V;0.79;730;0.13;1.169;01/09/2026;60;30
Silver X Mining;AGX.V;0.79;730;94.11;1.459;01/09/2026;40;30
GoldMining Can;GOLD.TO;2;730;0.11;3.9;01/09/2026;40;30
GoldMining USA;GLDG;1.5;730;0.11;3.155;01/09/2026;50;30
Dolly Varden;DV.V;1.5;730;nan;13.871;07/03/2026;50;30
Excellon Res;EXN.V;0.79;730;8.44;0.759;01/09/2026;60;30
Guanajuato Ag;GSVR.V;0.79;730;10.91;0.675;01/09/2026;60;30
TomaGold;LOT.V;0.79;730;0.93;0.012;01/09/2026;60;30
Americas Gold;USA.TO;0.79;730;19.84;12.643;01/09/2026;60;30
Stelmine Can;STHh.V;0.79;730;nan;nan;01/09/2026;60;30
Gold Reserve;GRZ.V;0.79;730;0.1;13.12;01/09/2026;60;30
North Dynasty;NAK;0.79;730;30.22;2.556;01/09/2026;50;30
US Gold Corp;USAU;0.79;730;0.2;27.95;01/09/2026;60;30
Solitario Res;XPL;1;730;nan;1.5;01/09/2026;40;30
